ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
688981.SH,20240131,43.0,44.19,41.85,43.29,43.08,0.21,0.4875,264880.8,1138964.849
688981.SH,20240130,44.99,45.25,43.03,43.08,45.35,-2.27,-5.0055,236310.83,1036409.5
688981.SH,20240129,46.5,47.18,44.97,45.35,46.5,-1.15,-2.4731,168194.54,769790.276
688981.SH,20240126,46.9,47.18,46.23,46.5,47.26,-0.76,-1.6081,180095.79,842394.635
688981.SH,20240125,45.45,47.41,45.07,47.26,45.37,1.89,4.1657,255771.49,1187793.509
688981.SH,20240124,44.94,45.58,43.73,45.37,44.72,0.65,1.4535,208729.35,930621.54
688981.SH,20240123,44.83,45.69,44.53,44.72,44.83,-0.11,-0.2454,203391.56,915329.858
688981.SH,20240122,45.67,46.23,44.5,44.83,45.86,-1.03,-2.246,260600.03,1187192.765
688981.SH,20240119,45.5,46.38,45.2,45.86,45.64,0.22,0.482,196674.25,901687.807
688981.SH,20240118,44.69,45.68,43.38,45.64,44.69,0.95,2.1258,276795.78,1227658.372
688981.SH,20240117,45.95,45.95,44.69,44.69,45.99,-1.3,-2.8267,132214.18,597545.961
688981.SH,20240116,45.59,46.08,44.9,45.99,45.67,0.32,0.7007,173025.75,787262.836
688981.SH,20240115,45.8,46.56,45.24,45.67,45.83,-0.16,-0.3491,159438.22,732805.094
688981.SH,20240112,47.5,47.55,45.79,45.83,47.6,-1.77,-3.7185,229001.35,1064018.744
688981.SH,20240111,47.28,48.22,47.15,47.6,47.47,0.13,0.2739,178597.17,849780.614
688981.SH,20240110,48.25,48.55,47.41,47.47,48.45,-0.98,-2.0227,149635.33,714549.962
688981.SH,20240109,49.48,49.67,47.9,48.45,49.5,-1.05,-2.1212,204945.92,997731.837
688981.SH,20240108,50.59,50.81,48.6,49.5,50.58,-1.08,-2.1352,224987.64,1110310.363
688981.SH,20240105,51.75,52.48,50.19,50.58,51.88,-1.3,-2.5058,194368.93,998406.765
688981.SH,20240104,52.5,52.7,51.42,51.88,52.48,-0.6,-1.1433,148885.03,773314.889
688981.SH,20240103,52.85,53.18,52.16,52.48,52.96,-0.48,-0.9063,128475.42,675958.355
688981.SH,20240102,53.02,53.27,52.72,52.96,53.02,-0.06,-0.1132,134591.47,713792.764
