ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000725.SZ,20240131,3.65,3.67,3.58,3.6,3.65,-0.05,-1.3699,2912252.41,1054996.194
000725.SZ,20240130,3.73,3.75,3.65,3.65,3.74,-0.09,-2.4064,2505521.49,928215.792
000725.SZ,20240129,3.76,3.79,3.74,3.74,3.75,-0.01,-0.2667,2456395.73,924638.822
000725.SZ,20240126,3.73,3.78,3.71,3.75,3.74,0.01,0.2674,3179464.99,1191565.002
000725.SZ,20240125,3.66,3.75,3.64,3.74,3.66,0.08,2.1858,3098538.17,1150401.966
000725.SZ,20240124,3.59,3.67,3.53,3.66,3.58,0.08,2.2346,2687910.11,967834.694
000725.SZ,20240123,3.57,3.62,3.53,3.58,3.58,0.0,0.0,2824210.57,1008330.68
000725.SZ,20240122,3.65,3.67,3.55,3.58,3.65,-0.07,-1.9178,3475039.79,1259434.991
000725.SZ,20240119,3.65,3.69,3.6,3.65,3.67,-0.02,-0.545,3069075.39,1118105.654
000725.SZ,20240118,3.68,3.69,3.54,3.67,3.68,-0.01,-0.2717,4907114.99,1770996.795
000725.SZ,20240117,3.72,3.73,3.68,3.68,3.73,-0.05,-1.3405,2229706.0,826388.162
000725.SZ,20240116,3.73,3.74,3.66,3.73,3.72,0.01,0.2688,3106560.73,1149691.608
000725.SZ,20240115,3.7,3.75,3.69,3.72,3.72,0.0,0.0,1938640.16,721545.641
000725.SZ,20240112,3.75,3.77,3.71,3.72,3.76,-0.04,-1.0638,2234978.63,835198.125
000725.SZ,20240111,3.73,3.77,3.71,3.76,3.72,0.04,1.0753,2285451.85,855965.25
000725.SZ,20240110,3.77,3.78,3.71,3.72,3.78,-0.06,-1.5873,3129385.3,1168411.121
000725.SZ,20240109,3.86,3.92,3.76,3.78,3.88,-0.1,-2.5773,4381967.98,1677063.516
000725.SZ,20240108,3.82,3.97,3.81,3.88,3.79,0.09,2.3747,6017056.42,2346299.63
000725.SZ,20240105,3.8,3.85,3.77,3.79,3.8,-0.01,-0.2632,2825272.2,1078996.758
000725.SZ,20240104,3.84,3.85,3.77,3.8,3.85,-0.05,-1.2987,2608495.04,990575.367
000725.SZ,20240103,3.86,3.89,3.82,3.85,3.87,-0.02,-0.5168,2647721.15,1019815.022
000725.SZ,20240102,3.89,3.9,3.84,3.87,3.9,-0.03,-0.7692,3106371.88,1201721.504
