ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002594.SZ,20240131,171.09,175.28,170.32,170.73,171.97,-1.24,-0.7211,125368.41,2155163.736
002594.SZ,20240130,173.08,175.48,170.3,171.97,178.44,-6.47,-3.6259,190761.18,3296016.841
002594.SZ,20240129,185.9,186.0,178.31,178.44,185.86,-7.42,-3.9923,146042.52,2647388.166
002594.SZ,20240126,189.0,189.0,185.5,185.86,189.9,-4.04,-2.1274,115854.64,2160578.276
002594.SZ,20240125,188.88,190.9,185.66,189.9,188.7,1.2,0.6359,130769.08,2470818.453
002594.SZ,20240124,189.28,189.85,184.08,188.7,187.85,0.85,0.4525,96641.21,1805379.382
002594.SZ,20240123,185.0,188.96,184.3,187.85,185.34,2.51,1.3543,110725.62,2072060.504
002594.SZ,20240122,188.87,191.3,184.56,185.34,189.34,-4.0,-2.1126,132239.73,2487370.789
002594.SZ,20240119,189.49,192.96,188.7,189.34,190.48,-1.14,-0.5985,80905.16,1540978.199
002594.SZ,20240118,185.65,191.0,184.91,190.48,186.8,3.68,1.97,114591.65,2150839.668
002594.SZ,20240117,194.2,194.55,186.8,186.8,195.3,-8.5,-4.3523,160794.71,3050944.39
002594.SZ,20240116,193.9,196.55,193.07,195.3,194.61,0.69,0.3546,83808.6,1633959.523
002594.SZ,20240115,194.72,197.0,192.42,194.61,195.87,-1.26,-0.6433,70219.93,1364639.692
002594.SZ,20240112,196.78,198.25,195.29,195.87,196.78,-0.91,-0.4624,87022.64,1711086.656
002594.SZ,20240111,190.2,198.7,188.81,196.78,190.29,6.49,3.4106,159861.74,3120354.836
002594.SZ,20240110,191.7,193.3,189.6,190.29,192.86,-2.57,-1.3326,71416.23,1364589.162
002594.SZ,20240109,191.0,196.0,190.2,192.86,189.4,3.46,1.8268,112186.51,2167747.852
002594.SZ,20240108,192.8,193.66,189.15,189.4,192.68,-3.28,-1.7023,81078.39,1543893.919
002594.SZ,20240105,192.47,197.5,191.13,192.68,193.02,-0.34,-0.1761,112401.88,2187835.615
002594.SZ,20240104,194.34,194.65,191.1,193.02,193.17,-0.15,-0.0777,89870.36,1731882.12
002594.SZ,20240103,192.5,193.87,190.7,193.17,192.6,0.57,0.296,84485.96,1624093.056
002594.SZ,20240102,199.61,199.62,192.37,192.6,198.0,-5.4,-2.7273,113928.32,2212162.4
