ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002415.SZ,20240131,31.65,32.15,30.86,31.92,31.82,0.1,0.3143,308749.17,976900.404
002415.SZ,20240130,31.97,32.7,31.8,31.82,31.5,0.32,1.0159,388195.76,1249025.389
002415.SZ,20240129,31.88,32.12,31.46,31.5,31.7,-0.2,-0.6309,185241.39,586931.528
002415.SZ,20240126,32.08,32.24,31.5,31.7,32.06,-0.36,-1.1229,256807.26,818356.193
002415.SZ,20240125,31.38,32.18,31.19,32.06,31.38,0.68,2.167,277307.73,884704.56
002415.SZ,20240124,30.71,31.38,30.18,31.38,30.74,0.64,2.082,267173.78,821964.67
002415.SZ,20240123,30.89,31.09,30.11,30.74,30.89,-0.15,-0.4856,330312.74,1009871.427
002415.SZ,20240122,31.65,31.78,30.64,30.89,31.68,-0.79,-2.4937,314733.67,985293.958
002415.SZ,20240119,31.5,31.92,31.4,31.68,31.63,0.05,0.1581,276197.81,874132.26
002415.SZ,20240118,30.66,31.9,30.41,31.63,30.98,0.65,2.0981,432607.59,1343406.437
002415.SZ,20240117,30.83,31.24,30.75,30.98,30.67,0.31,1.0108,359275.3,1113438.307
002415.SZ,20240116,30.47,30.7,30.18,30.67,30.5,0.17,0.5574,227739.62,695748.353
002415.SZ,20240115,30.5,30.63,30.15,30.5,30.43,0.07,0.23,288361.7,876401.003
002415.SZ,20240112,30.73,30.93,30.36,30.43,30.86,-0.43,-1.3934,290265.11,886807.429
002415.SZ,20240111,30.35,31.2,30.21,30.86,30.35,0.51,1.6804,324030.85,998882.371
002415.SZ,20240110,30.93,30.99,30.2,30.35,31.15,-0.8,-2.5682,292049.78,889987.096
002415.SZ,20240109,31.66,31.68,30.42,31.15,31.68,-0.53,-1.673,413645.3,1276313.395
002415.SZ,20240108,32.42,32.42,31.3,31.68,32.43,-0.75,-2.3127,303619.91,961036.038
002415.SZ,20240105,32.36,32.94,32.14,32.43,32.58,-0.15,-0.4604,234765.88,763550.815
002415.SZ,20240104,33.0,33.02,32.04,32.58,33.06,-0.48,-1.4519,340313.11,1103184.842
002415.SZ,20240103,33.48,33.7,32.82,33.06,33.77,-0.71,-2.1025,304835.82,1008315.315
002415.SZ,20240102,34.68,34.68,33.25,33.77,34.72,-0.95,-2.7362,384245.75,1290363.71
