ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
688111.SH,20240131,228.01,229.48,214.13,214.22,229.48,-15.26,-6.6498,39151.22,859237.826
688111.SH,20240130,234.42,234.42,227.16,229.48,232.5,-3.02,-1.2989,29210.53,674564.084
688111.SH,20240129,237.0,239.99,231.75,232.5,238.4,-5.9,-2.4748,35623.29,835147.554
688111.SH,20240126,240.0,244.46,238.01,238.4,242.46,-4.06,-1.6745,31890.03,767967.172
688111.SH,20240125,238.0,246.61,233.77,242.46,239.4,3.06,1.2782,51258.59,1237124.916
688111.SH,20240124,238.0,241.56,230.01,239.4,235.52,3.88,1.6474,42181.59,994576.657
688111.SH,20240123,225.0,237.78,222.55,235.52,227.32,8.2,3.6072,58355.83,1349598.438
688111.SH,20240122,237.0,237.67,224.0,227.32,237.72,-10.4,-4.3749,40747.5,941527.905
688111.SH,20240119,240.08,243.0,234.59,237.72,242.16,-4.44,-1.8335,36667.1,872438.253
688111.SH,20240118,237.0,242.5,233.11,242.16,237.5,4.66,1.9621,40078.66,950549.19
688111.SH,20240117,242.08,243.86,237.0,237.5,242.44,-4.94,-2.0376,28700.38,689579.988
688111.SH,20240116,240.97,242.48,237.5,242.44,240.58,1.86,0.7731,42421.4,1016100.398
688111.SH,20240115,255.0,257.0,235.7,240.58,257.33,-16.75,-6.5092,63844.3,1553086.33
688111.SH,20240112,257.58,263.74,254.76,257.33,256.7,0.63,0.2454,23775.22,616101.258
688111.SH,20240111,251.85,260.39,251.85,256.7,251.1,5.6,2.2302,32545.23,834719.49
688111.SH,20240110,252.5,257.5,248.0,251.1,256.37,-5.27,-2.0556,30171.77,761136.596
688111.SH,20240109,261.0,266.86,253.0,256.37,260.4,-4.03,-1.5476,39303.48,1014686.15
688111.SH,20240108,270.26,273.5,258.68,260.4,269.95,-9.55,-3.5377,34298.43,905410.107
688111.SH,20240105,271.5,273.87,266.0,269.95,271.75,-1.8,-0.6624,29583.29,796854.105
688111.SH,20240104,273.78,277.68,270.82,271.75,267.0,4.75,1.779,53816.15,1475714.337
688111.SH,20240103,302.19,302.19,265.86,267.0,303.43,-36.43,-12.0061,80325.48,2237278.055
688111.SH,20240102,313.74,317.87,299.12,303.43,316.2,-12.77,-4.0386,30552.72,932748.299
