ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000625.SZ,20240131,13.28,13.39,12.7,12.8,13.25,-0.45,-3.3962,1390952.17,1805354.238
000625.SZ,20240130,13.52,13.66,13.18,13.25,13.66,-0.41,-3.0015,988008.35,1324394.988
000625.SZ,20240129,14.28,14.34,13.61,13.66,14.2,-0.54,-3.8028,1308831.65,1813360.371
000625.SZ,20240126,14.2,14.45,13.9,14.2,14.34,-0.14,-0.9763,1491846.32,2114891.756
000625.SZ,20240125,13.72,14.5,13.56,14.34,13.81,0.53,3.8378,2110849.55,2985684.176
000625.SZ,20240124,13.85,14.0,13.4,13.81,13.76,0.05,0.3634,1313756.34,1795723.852
000625.SZ,20240123,13.73,13.94,13.43,13.76,13.76,0.0,0.0,1451221.1,1984746.403
000625.SZ,20240122,14.36,14.47,13.6,13.76,14.38,-0.62,-4.3115,1474450.41,2067184.401
000625.SZ,20240119,14.48,14.64,14.33,14.38,14.57,-0.19,-1.304,965137.78,1394766.976
000625.SZ,20240118,14.08,14.58,14.0,14.57,14.38,0.19,1.3213,1890088.89,2701503.384
000625.SZ,20240117,14.8,14.9,14.37,14.38,15.28,-0.9,-5.8901,2407920.44,3523085.642
000625.SZ,20240116,14.7,15.42,14.62,15.28,14.79,0.49,3.313,3093839.14,4694778.541
000625.SZ,20240115,14.5,15.05,14.4,14.79,14.57,0.22,1.51,1511414.03,2234181.904
000625.SZ,20240112,14.66,14.79,14.55,14.57,14.76,-0.19,-1.2873,1146717.36,1680065.679
000625.SZ,20240111,14.4,14.92,14.28,14.76,14.41,0.35,2.4289,1960558.91,2868680.404
000625.SZ,20240110,14.68,14.75,14.33,14.41,14.81,-0.4,-2.7009,1796982.02,2603563.024
000625.SZ,20240109,14.78,14.98,14.6,14.81,14.79,0.02,0.1352,1333506.65,1968449.661
000625.SZ,20240108,14.8,14.95,14.45,14.79,14.89,-0.1,-0.6716,1656157.99,2440567.207
000625.SZ,20240105,15.3,15.41,14.81,14.89,15.29,-0.4,-2.6161,1733854.49,2622284.536
000625.SZ,20240104,15.78,15.87,15.26,15.29,15.79,-0.5,-3.1666,1739904.23,2685418.566
000625.SZ,20240103,16.18,16.22,15.68,15.79,16.24,-0.45,-2.7709,1913190.84,3038751.803
000625.SZ,20240102,16.74,16.89,16.24,16.24,16.83,-0.59,-3.5056,1995178.02,3286210.733
