ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603501.SH,20240131,87.78,88.4,85.26,86.25,87.9,-1.65,-1.8771,88417.36,765712.155
603501.SH,20240130,88.02,90.39,87.31,87.9,89.14,-1.24,-1.3911,90821.9,806355.398
603501.SH,20240129,90.0,91.5,89.0,89.14,90.05,-0.91,-1.0105,83004.78,747762.784
603501.SH,20240126,91.5,92.6,89.51,90.05,92.6,-2.55,-2.7538,117828.17,1067069.05
603501.SH,20240125,89.53,92.88,88.65,92.6,89.3,3.3,3.6954,124981.3,1144029.495
603501.SH,20240124,88.28,89.9,87.02,89.3,87.25,2.05,2.3496,108988.96,960977.355
603501.SH,20240123,88.34,88.4,86.66,87.25,89.25,-2.0,-2.2409,92974.82,813872.672
603501.SH,20240122,90.76,91.15,87.29,89.25,90.76,-1.51,-1.6637,100693.92,898953.575
603501.SH,20240119,91.64,92.47,89.1,90.76,91.64,-0.88,-0.9603,97908.65,888631.604
603501.SH,20240118,88.0,91.82,87.8,91.64,88.9,2.74,3.0821,114656.55,1028591.513
603501.SH,20240117,89.8,90.48,88.85,88.9,89.94,-1.04,-1.1563,82599.38,740068.212
603501.SH,20240116,93.2,93.5,89.01,89.94,93.47,-3.53,-3.7766,158859.96,1438242.082
603501.SH,20240115,93.0,95.0,92.51,93.47,94.39,-0.92,-0.9747,71256.23,668117.921
603501.SH,20240112,93.91,95.35,93.67,94.39,94.5,-0.11,-0.1164,52202.03,493491.615
603501.SH,20240111,93.0,94.87,92.99,94.5,93.57,0.93,0.9939,61708.57,580985.369
603501.SH,20240110,94.71,95.28,93.2,93.57,95.0,-1.43,-1.5053,52156.33,490504.655
603501.SH,20240109,95.0,96.1,93.73,95.0,94.31,0.69,0.7316,72868.89,690643.237
603501.SH,20240108,96.5,97.99,93.99,94.31,97.66,-3.35,-3.4303,83234.31,791244.397
603501.SH,20240105,97.8,100.26,96.9,97.66,98.17,-0.51,-0.5195,69403.16,681617.856
603501.SH,20240104,99.18,99.39,96.5,98.17,98.93,-0.76,-0.7682,66615.78,651228.144
603501.SH,20240103,102.0,102.85,98.75,98.93,103.0,-4.07,-3.9515,107648.0,1077209.674
603501.SH,20240102,106.7,106.99,103.0,103.0,106.71,-3.71,-3.4767,84470.82,879727.365
